RECORD #(BIBLIO);MAT TYPE;008 Date One;008 Date Two;245|a;245|b;246|a;222|a;260|a;260|b;260|c;264|a;264|b;264|c;300;310;911;530;590;866;362
b13163061;s  ;1927;1927;الزهرة /;;al-Zahrah;الزهرة ;;;;بيروت :;الجامعة الأميركية في بيروت،;1927.;مجلدات;;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000502;"الموجودات في دائرة الارشيف والمجموعات الخاصة.$""The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 23.""";في المكتبة:1927;
b1362569x;1  ;1927;1927;الزهرة /;;al-Zahrah;الزهرة ;;;;بيروت :;الجامعة الأميركية في بيروت،;1927.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة : 1927.;
b12823910;1  ;1870;1870;الزهرة :;نشرة أسبوعية.;al-Zahrah :;الزهرة;;;;بيروت :;[يوسف شلفون]،;1870.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";أسبوعية.;CEASE;متوفر أيضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1986;في المكتبة: مج.1:ع.1-52(1870:كانون الثاني،1-كانون الاول،24);صدر العدد الأول في 29 رمضان 1286هـ 1 يناير 1870م.
b2587567x;s  ;1870;1870;الزهرة :;نشرة أسبوعية.;al-Zahrah :;الزهرة;;;;بيروت، لبنان :;[يوسف شلفون]،;1870.;"مجلد ؛ 26 سم";أسبوعية.;CEASE;متوفر أيضاً على ميكروفيلم رقم Mic-NA:000219.;;في المكتبة: مج.1:ع.1-51(1870:كانون الثاني،1-كانون الاول،17);صدر العدد الأول في 29 رمضان 1286هـ 1 يناير 1870م.
b12819037;s  ;1910;1914;الزهور :;مجلة أدبية فنية علمية.;al-Zuhūr :;الزهور;;;;القاهرة :;مطبعة المعارف،;1910-1914.;"مجلدات : مصورات ؛ 23 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم رقم : Mic-NA:000499.;تحفظ المجموعة في دائرة الارشيف والمجموعات الخاصة.;في المكتبة :مج. 1-4 (1910:آذار-1913:كانون الاول);صدر العدد الاول آذار 1910.
b13592725;1  ;1910;1914;الزهور :;مجلة أدبية فنية علمية.;al-Zuhūr :;الزهور;;;;القاهرة :;مطبعة المعارف،;1910-1914.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في مكتبة يافث، دائرة المصغرات الفلمية.;في المكتبة:مج.1-4(1910:آذار-1913:كانون الأول);
b12823946;1  ;1912;1957;السائح :;جريدة أدبية سياسية تجارية.;"al-Sā’iḥ :$""السائح الممتاز""";السائح;;;;نيويورك :;[عبد المسيح حداد]،;1912-1957.;"بكرة ميكروفيلم : ايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في جامعة هارفرد- انتاج المصغرات الفلمية.;في المكتبة:مج.1:ع.1-مج.45:ع.52(1912:نيسان23-1957:أيار6);
b23281510;s  ;1912;1959;السائح :;جريدة أدبية سياسية تجارية.;"al-Sā’iḥ :$""السائح الممتاز""";السائح;;;;نيويورك :;[عبد المسيح حداد]،;1912-1959.;"مجلدات ؛ 45 سم";;CEASE;متوفر أيضاً على ميكروفيلم رقم Mic-NA:000221.;;"في المكتبة:العدد الممتاز لعام 1919؛ مج.9:ع.802(1921:كانون الثاني)؛ مج.11:ع.993(1923:كانون الثاني)؛ مج.13:ع.1191(1929:شباط)؛ مج.15:ع.1389(1927:آذار)+عدد خاص؛ مج.18:ع.256(1930:شباط)؛ مج.19:ع.3، 12(1930:أيار، تموز)";
b12821573;1  ;1898;1899;السعادة :;جريدة عثمانية سياسية.;al-Sa‘ādah :;السعادة;;;;الإسكندرية :;[محمود علي]،;1898-1899.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1898:أيلول-1899:آذار.;
b2328125x;s  ;1904;1956;السعادة :;جريدة سياسية أدبية إقتصادية إخبارية.;Es-Saada;السعادة;;;;الرباط، المغرب:;[جريدة السعادة]،;1904-1956.;"مجلد ؛ 26 سم";مرتين في الأسبوع.;CEASE;;;"في المكتبة: مج.7:ع.417، 420(1910:أيلول)؛ مج.29:ع.3873(1932:آب)";
b23274086;s  ;1920;19uu;السعادة :;مجلة لبنانية إستقلالية.;"السعادة :$""la Felicidad :""";السعادة;;;;توكومان :;يوسف نجم الرشماني،;1920-[19؟؟];"مجلدات ؛ 25 سم.";نصف شهرية.;CEASE;;;في المكتبة: ع.3، 16/17(1920:أيار، تشرين الأول);
b12820714;1  ;1915;1923;السفور :;جريدة أسبوعية إجتماعية نقدية علمية أدبية.;al-Sufūr :;السفور;;;;القاهرة :;إدارة جريدة السفور،;1915-1923.;"2 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";أسبوعية.;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1915:آذار-1923:شباط.;صدرت السنة الأولى، العدد الأول مايو 1915.
b12828075;1  ;1912;1915;السلام.;;"al-Salām$""Assalam""";السلام;;;;بوينس ايرس :;[وديع شمعون]،;[1912-1915];"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1993.;في المكتبة:1912:تشرين الثاني-1915:أيار.;
b23286490;s  ;1910;191u;السمير.;;;السمير;;;;[الإسكندرية، مصر] :;[قصير شميل]،;1910-;مجلدات;;CEASE;;;"في المكتبة:مج.1:ع.1، 5، 8، 10، 11، 13(1910:آذار، أيار، حزيران، تموز، آب، أيلول)؛ مج.2:ع.3(1911:شباط)";السنة الأولى، العدد الأول (آذار 1910)
b12818677;s  ;1929;1959;السمير.;;"as-Sameer$""al-Samīr""";السمير;;;;نيويورك :;إيليا ابو ماضي،;1929-1959.;"4 مجلدات ؛ 23 سم";نصف شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000312;;في المكتبة: مج.1-4(1929-1933);صدر العدد الاول 15 نيسان 1929.
b12828427;1  ;1929;1959;السمير.;;"as-Sameer$""al-Samīr""";السمير;;;;نيويورك :;إيليا ابو ماضي،;1929-1959.;"8 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";نصف شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1995;في المكتبة:مج 1-4(1929:نبسان،15-1923: نيسان،1);صدر العدد الاول 15 نيسان 1929.
b12830835;1  ;1922;1951;السياسة /;;"al-Siyāsah$"" السياسة [القاهرة]""";السياسة;;;;القاهرة :;حزب الأحرار الدستوريين،;1922-1951.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";يومية.;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1994.;في المكتبة:1922:اكتوبر،30 -1923:كانون اول،1924:ايلول-1925:كانون اول.;
b23282198;s  ;1921;uuuu;السياسة :;جريدة سياسية أدبية حرة.;A Politica :;السياسة;;;;سان باولو، البرازيل :;[سليم شديد عقل]،;1921-19؟؟-;"مجلد ؛ 47 سم";أسبوعية.;CEASE;;;في المكتبة: مج.2:ع.32، 33(1922:شباط، آذار);
b12822802;1  ;1926;1930;السياسة الأسبوعية.;;al-Siyāsah al-usbū‘īyah;السياسة الأسبوعية;;;;القاهرة :;الهيئة العامة لدار الكتب والوثائق الوطنية،;1926-1930.;"9 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1926:آذار-1930:أيلول.;
b23631818;s  ;1926;1930;السياسة الأسبوعية.;;al-Siyāsah al-usbū‘īyah;السياسة الأسبوعية;;;;القاهرة :;الهيئة العامة لدار الكتب والوثائق الوطنية،;1926-1930.;"عدد ؛ 46 سم";;CEASE;متوفر أيضاً على نسخة مطبوعة Mic-NA:000123.;;في المكتبة: مج.6:ع.7(1937:شباط);
b12826571;s  ;1928;1930;السيف والناس :;جريدة سياسية أدبية.;"al-Sayf wa-al-nās :$""السيف والناس :""";السيف والناس;;;;القاهرة :;حسين علي،;1928-[1930];"1 مجلد : مصورات ؛ 29 سم";اسبوعية.;CEASE;;;في المكتبة : س.1:ع.1 - 29 (1928:شباط - كانون الاول) ، س.22:ع.1 - 21 (1930: كانون الثاني - تموز);صدر العدد الاول 26 شباط 1928.
b13144224;s  ;1926;1929;الشبيبة :;مجلة علمية أدبية فكاهية.;Shabībah :;الشبيبة;;;;بيروت :;يوسف اسكندر عازار،;[1926-1929];"مجلدات : مصورات ؛ 23 سم";شهرية.;CEASE;;;في المكتبة :س. 3:ع. 12-س. 4:ع.1-11/10(1928:آب-1929);
b12824082;1  ;1866;18uu;الشراكة الشهرية في بيروت.;;al-Sharākah al-Shahrīyah fī Bayrūt;الشراكة الشهرية في بيروت;;;;بيروت :;[يوسف الشلفون]،;1866-[18؟؟];"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في ال: British Library;في المكتبة :الكتاب 1-8(1866:كانون الثاني-آب);
b12827939;1  ;1926;9999;الشرق.;;"al-Sharq$""Elshark""$""جريدة الشرق""";الشرق;;;;بيروت :;[عوني الكعكي]،;1926-;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";يومية.;ACTIV;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1992.;في المكتبة:1976: آذار-;صدرت سنة 1926.
b14114860;s  ;1926;9999;الشرق.;;"al-Sharq$""Elshark""$""جريدة الشرق""";الشرق;;;;بيروت :;[عوني الكعكي]،;1926-;"مجلدات : مصورات ؛ 39 سم";يومية.;ACTIV;متوفر ايضاً على ميكروفيلم : Mic-NA:000230;المكتبة تحتفظ بالشهر الجاري حتى يتم تصويرها على ميكروفيلم;في المكتبة : المكتبة تحتفظ بالشهر الجاري فقط;صدرت سنة 1926.
b1315039x;1  ;1909;1911;الشعب (حلب) :;جريدة يومية سياسية أدبية تجارية.;al-Sha‘b (Ḥalab) :;الشعب (حلب);;;;حلب :;[مطبعة الاتقان]،;1909-1911.;"4 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";يومية.;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1999;في المكتبة:مج.1:ع.1-مج.2:ع.262(1909:آب-1911:أيلول);
b12822978;1  ;1927;1937;الشعب (دمشق);;al-Sha‘b (Dimashq);الشعب (دمشق);;;;دمشق :;[توفيق جانا]،;1927-1937.;"10 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1927:تموز-1937:تموز.;
b12820805;1  ;1912;1952;الشعب (عين زحلتا) :;جريدة جامعة أنشئت لخدمة الشعب الشوفي.;al-Sha‘b (‘Ayn Zaḥaltā) :;الشعب (عين زحلتا);;;;عين زحلتا :;[رشيد نخله]،;1912-1952.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1912: تشرين الاول-1913:ايلول،1922:ايار- كانون اول،1925:شباط - كانون اول،1933: كانون الثاني- ايار،1950:شباط-1952:تموز;
b23278924;s  ;1912;1952;الشعب (عين زحلتا) :;جريدة جامعة أنشئت لخدمة الشعب الشوفي.;al-Sha‘b (‘Ayn Zaḥaltā) :;الشعب (عين زحلتا);;;;عين زحلتا :;[رشيد نخله]،;1912-1952.;"مجلدات ؛ 32 سم";;CEASE;متوفر أيضاً على ميكروفليم Mic-NA:000013.;;في المكتبة:مج.10:ع.5، 9، 10(1922:حزيران، تموز);
b18448331;s  ;1886;1892;الشفاء :;صحيفة طبية جراحية علمية وعملية /;al-Shifāʼ :;الشفاء;;;;مصر :;شبلي شميل،;1886-1892.;"5 مجلدات ؛ 25 سم";شهرية.;CEASE;;;في المكتبة:مج.1-5(1886:شباط-1892:كانون الثاني);صدر العدد الاول، السنة الاولى (1886: شباط)
b23567363;s  ;1900;1901;الشمس.;;;الشمس;;;;دمشق، سوريا :;[جورج متى]،;1900-1901.;"مجلد ؛ 24 سم";مرتين في الشهر.;CEASE;;;في المكتبة:مج.1:ع.1-24(1900:حزيران-1901:أيار);السنة الأولى، العدد الأول (حزيران 1900)-العدد الرابع والعشرون (1901:أيار)
b13144170;1  ;1915;1930;الشمس.;;"al-Shams$""الشمس :""";الشمس;;;;لبنان :;[اسبر الغريب]،;1915-1930.;"2 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:مج. 15-16(1930:كانون الثاني/شباط -تشرين الثاني);
b13375295;s  ;1915;1930;الشمس.;;"al-Shams$""الشمس :""";الشمس;;;;لبنان :;[اسبر الغريب]،;1915-[1930];"1 مجلد : مصورات ؛ 26 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000447;;"في المكتبة: مج.10(1924:آب، أيلول، تشرين الأول، تشرين الثاني)؛ مج.13:ع.11(1928: آذار)؛ مج.14:ع.10(1928:تموز-أيلول، 1929:شباط)؛ مج. 15-16(1930:كانون الثاني/شباط - تشرين الثاني)؛ مج.17(1931:شباط، أيار، حزيران، آب، أيلول، تشرين الثاني، كانون الأول)؛ مج.18(1932:حزيران/تموز، آب، أيلول، تشرين الأول)؛ مج.19(1933:أيار/حزيران)؛ مج.20(1934:تموز/آب، أيلول/تشرين الأول)؛ مج.21(1936:كانون الثاني/شباط)؛ مج.23:ع.1(1938:آب)";صدرت سنة 1915.
